"","x"
"1",0.004805444
"2",0.009880428
"3",0.01518218
"4",0.019576308
"5",0.092836732
"6",0.04058918
"7",0.04003296
"8",0.03622288
"9",0.04538338
"10",0.010287796
"11",0.01944602
"12",0.01804318
"13",0.013094728
"14",0.049850852
"15",0.03640468
"16",0.043382112
"17",0.050424124
"18",0.03134584
"19",0.021716756
"20",0.023540224
"21",0.02541868
"22",0.021210252
"23",0.025327716
"24",0.018480316
"25",0.0199571
"26",0.04779596
"27",0.006357588
"28",0.025472456
"29",0.024474704
"30",0.025439884
"31",0.04262234
"32",0.036935444
"33",0.046938264
"34",0.041073812
"35",0.039751796
"36",0.017140872
"37",0.016807904
"38",0.018560164
"39",0.5
"40",0.01875128
"41",0.021723444
"42",0.039133692
"43",0.033769676
"44",0.023549488
"45",0.019882972
"46",0.080836684
"47",0.038051492
"48",0.039919204
"49",0.03742032
"50",0.01265194
"51",0.01328358
"52",0.02906204
"53",0.039168496
"54",0.011614852
"55",0.01197546
"56",0.029112428
"57",0.053970868
"58",0.010463948
"59",0.028179808
"60",0.037419872
"61",0.03837174
"62",0.036396992
"63",0.026716956
"64",0.008643864
"65",0.5
"66",0.01844338
"67",0.017925624
"68",0.043493492
"69",0.01805558
"70",0.029465676
"71",0.01783492
"72",0.040592248
"73",0.021845904
"74",0.022736472
"75",0.028912812
"76",0.01879898
"77",0.013402724
"78",0.03867414
"79",0.032317244
"80",0.029643616
"81",0.017488968
"82",0.0146448
"83",0.02256198
"84",0.007289556
"85",0.023126856
"86",0.0450842
"87",0.01294006
"88",0.017946612
"89",0.024358696
"90",0.023441704
"91",0.032133804
"92",0.02066638
"93",0.013273664
"94",0.018840472
"95",0.020481624
"96",0.023676084
"97",0.023928684
"98",0.037497072
"99",0.031769484
"100",0.033176704
"101",0.038117312
"102",0.0267268
"103",0.03452018
"104",0.025353496
"105",0.019461224
"106",0.014139816
"107",0.047425948
"108",0.036655228
"109",0.013156248
"110",0.5
"111",0.021145076
"112",0.171589804
"113",0.105741628
"114",0.035174688
"115",0.086803724
"116",0.015172968
"117",0.007900024
"118",0.039143952
"119",0.216872764
"120",0.04353914
